Dependency Name,Repository,GitHub Star,GitHub Forks,GitHub Watchers,Abondoned,Code Coverage %,Linters,Dependenats,NPM Stars,Maintainers,Contributors,Dependencies,License,Total Issues,Open Issues,Security Advisories
grunt-contrib-connect,https://github.com/gruntjs/grunt-contrib-connect,722,157,19,FALSE,,2,191,48,6,17,9,MIT,270,29,0
through,https://github.com/dominictarr/through,668,62,9,FALSE,,0,2172,102,1,0,0,MIT,50,14,0
autoprefixer,https://github.com/postcss/autoprefixer,19980,1231,388,FALSE,,3,7001,211,1,174,6,MIT,1418,32,0
isparta,https://github.com/douglasduteil/isparta,650,46,15,FALSE,,1,51,15,1,0,9,WTFPL,147,41,1
event-stream,https://github.com/dominictarr/event-stream,2166,152,69,FALSE,,0,1602,102,1,0,7,MIT,122,7,0
ember-cli-sri,https://github.com/jonathanKingston/ember-cli-sri,47,15,4,FALSE,,2,3,0,3,0,1,MIT,34,11,0
jsdoc,https://github.com/jsdoc/jsdoc,12313,1353,273,FALSE,,2,477,136,1,1,14,Apache-2.0,1925,391,0
semantic-release,https://github.com/semantic-release/semantic-release,14183,1312,42,FALSE,1,2,405,85,4,2,28,MIT,2047,231,0
expect,https://github.com/facebook/jest,37224,5475,549,FALSE,0.69,3,441,58,5,0,6,MIT,12020,1655,0
eslint-plugin-standard,https://github.com/standard/eslint-plugin-standard,120,20,9,FALSE,,2,1233,10,12,0,0,MIT,38,1,0
grunt-release,https://github.com/geddski/grunt-release,390,121,14,FALSE,,2,36,7,3,0,4,MIT,175,36,4
aws-sdk,https://github.com/aws/aws-sdk-js,6833,1418,253,FALSE,0.97,2,9023,207,7,2,9,Apache-2.0,3925,223,0
proxyquire,https://github.com/thlorenz/proxyquire,2625,116,23,FALSE,,2,204,76,2,0,3,MIT,263,9,0
phantomjs-prebuilt,https://github.com/Medium/phantomjs,1413,437,200,FALSE,,2,486,68,4,0,9,Apache-2.0,826,174,0
angular,https://github.com/angular/angular.js,59588,28428,3901,FALSE,,2,2651,237,3,0,0,MIT,17020,464,0
babel-plugin-transform-object-rest-spread,https://github.com/babel/babel,37284,4433,867,FALSE,0.91,3,1567,17,4,0,2,MIT,11888,795,0
uuid,https://github.com/uuidjs/uuid,11729,787,139,FALSE,,2,23981,315,4,5,0,MIT,596,24,0
eslint-plugin-babel,https://github.com/babel/eslint-plugin-babel,391,73,17,FALSE,,1,836,14,12,0,1,MIT,195,0,0
ember-try,https://github.com/ember-cli/ember-try,175,53,12,FALSE,0.94,3,8,2,5,0,10,MIT,788,45,0
eslint-config-standard,https://github.com/standard/eslint-config-standard,2170,537,45,FALSE,,1,1370,31,11,0,0,MIT,182,8,0
ember-cli-content-security-policy,https://github.com/rwjblue/ember-cli-content-security-policy,155,50,4,FALSE,,3,7,1,2,0,5,MIT,258,16,0
vows,https://github.com/cloudhead/vows,1575,171,30,FALSE,,0,143,22,6,2,3,MIT,407,29,0
concat-stream,https://github.com/maxogden/concat-stream,555,64,11,FALSE,,0,1909,99,3,0,4,MIT,67,20,0
ember-cli-ic-ajax,https://github.com/rjackson/ember-cli-ic-ajax,22,13,2,FALSE,,0,8,0,2,0,1,MIT,24,8,0
xtend,https://github.com/Raynos/xtend,302,38,6,FALSE,,1,2449,46,1,2,0,MIT,46,0,0
morgan,https://github.com/expressjs/morgan,6618,482,91,FALSE,0.82,1,5486,430,1,2,5,MIT,255,17,0
nodemon,https://github.com/remy/nodemon,23310,1550,262,FALSE,,2,2542,633,1,0,10,MIT,1950,29,0
eslint-loader,https://github.com/webpack-contrib/eslint-loader,1069,127,22,FALSE,0.95,3,4372,27,1,1,5,MIT,337,0,0
redux,https://github.com/reduxjs/redux,56949,14928,1377,FALSE,,3,9669,249,4,0,1,MIT,4134,44,0
path,https://github.com/jinder/path,103,30,4,FALSE,,0,7106,89,3,0,2,MIT,18,10,0
ws,https://github.com/websockets/ws,17294,2077,386,FALSE,1,2,9616,254,4,0,0,MIT,1964,5,0
postcss,https://github.com/postcss/postcss,25494,1432,527,FALSE,,3,6436,138,1,0,3,MIT,1658,9,0
promise,https://github.com/then/promise,2405,300,68,FALSE,0.95,1,4244,112,2,0,1,MIT,171,23,0
cookie-parser,https://github.com/expressjs/cookie-parser,1669,182,37,FALSE,1,1,5207,237,2,1,2,MIT,84,3,0
rollup,https://github.com/rollup/rollup,20911,1076,258,FALSE,0.98,3,3205,86,5,0,1,MIT,4275,359,0
babel-preset-stage-1,https://github.com/babel/babel,38363,4673,859,FALSE,0.92,3,569,10,4,0,3,MIT,12558,757,0
grunt-bump,https://github.com/vojtajina/grunt-bump,647,127,13,FALSE,,1,46,23,3,32,1,MIT,208,12,0
gulp-watch,https://github.com/floatdrop/gulp-watch,654,96,16,FALSE,0.97,2,762,191,2,0,12,MIT,353,52,2
mysql,https://github.com/mysqljs/mysql,16833,2381,505,FALSE,0.98,1,4753,489,4,5,4,MIT,2499,212,0
gulp-autoprefixer,https://github.com/sindresorhus/gulp-autoprefixer,683,49,25,FALSE,,2,903,373,1,0,6,MIT,119,7,0
sass-loader,https://github.com/webpack-contrib/sass-loader,3699,384,47,FALSE,0.96,3,7917,76,3,0,2,MIT,988,4,0
grunt-browserify,https://github.com/jmreidy/grunt-browserify,579,156,13,FALSE,,1,68,31,3,2,7,MIT,412,35,0
koa,https://github.com/koajs/koa,31960,3109,850,FALSE,1,2,4514,261,6,176,23,MIT,1575,56,0
vinyl-buffer,https://github.com/hughsk/vinyl-buffer,78,9,2,FALSE,,0,509,35,2,0,2,MIT,9,1,0
gulp-coffee,https://github.com/gulp-community/gulp-coffee,226,75,12,FALSE,,0,161,53,2,0,5,MIT,98,6,0
eslint-plugin-promise,https://github.com/xjamundx/eslint-plugin-promise,671,78,8,FALSE,,3,2126,24,2,1,0,ISC,223,46,0
